Feature,Importance
bathrooms,0.29052045470757326
longitude,0.1671773332766968
minimum_nights,0.12702289305765777
accommodates,0.09054955490296746
amenities_count,0.06830770566514885
latitude,0.06396959175776813
bedrooms,0.06163862244639811
number_of_reviews,0.028670553450556874
occupancy_proxy,0.02766010927604729
availability_365,0.02661826091493051
beds,0.01627072785798959
review_intensity,0.01528212527796195
reviews_per_month,0.0085640808637692
is_superhost,0.005556668349253245
instant_bookable_num,0.0021913181952809336
